model,model_name,dataset,sample_users,batch_size,profile_cutoff,manual_history_cutoff,source_history_len_mean,source_history_len_p50,source_history_len_p95,source_history_len_max,history_len_mean,history_len_p50,history_len_p95,history_len_max,prompt_tokens_avg,output_tokens_avg,latency_ms_mean,latency_ms_p50,latency_ms_p95,users_per_sec,recall_included,recall_users,recall_top_k,recall_channels,recall_latency_ms_mean,recall_latency_ms_p50,recall_latency_ms_p95,recall_users_per_sec,end_to_end_latency_ms_mean,end_to_end_latency_ms_p50,end_to_end_latency_ms_p95,end_to_end_users_per_sec,peak_mem_gb,hardware,requested_device,resolved_device,device_note,decoding,candidate_lists,checkpoint_path,test_dataset_path,data_path,checkpoint_dir,sample_seed,seed,max_length,date,host,recall_itemknn_ms_mean,recall_itemknn_ms_p50,recall_itemknn_ms_p95,recall_lightgcn_ms_mean,recall_lightgcn_ms_p50,recall_lightgcn_ms_p95,recall_pop_ms_mean,recall_pop_ms_p50,recall_pop_ms_p95
Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,ml-1m,500,1,500000,20,36.96,43.0,46.0,46,19.738,20.0,20.0,20,1433.24,0.0,228.8462853236124,229.9732140963897,240.03521136473864,4.321242834301604,True,500,50,itemknn lightgcn pop,4.229462775867432,4.2199353920295835,4.474369471427053,234.3727845549445,233.07574809947982,234.18960848357528,244.25168317975476,4.243012390761632,5.5489821434021,NVIDIA A100 80GB PCIe,cuda:1,cuda,Mapped requested physical cuda:1 to local cuda via CUDA_VISIBLE_DEVICES=1.,classification_forward_no_generation,online_recall_top50_profiled; prompts_from_saved_test_dataset_manual_history_cutoff_20,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/ml-1m/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/ml-1m/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,dataset,./checkpoints,42,42,2777,2026-05-24T22:13:23,uvavast,1.433132465928793,1.4261530013754964,1.6663316404446957,1.405781043227762,1.400705543346703,1.4416190446354449,1.3905492667108774,1.3862629421055317,1.41804413869977
Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,steam,500,1,500000,20,16.574,9.0,46.0,46,11.43,9.0,20.0,20,964.932,0.0,149.5919881449081,119.96502452529967,239.38094928162172,6.591725061011752,True,413,50,itemknn lightgcn pop,5.028580118660741,5.005828104913235,5.3177704103291035,197.44513765480178,154.62056826356883,124.99360464396041,244.40952940028245,6.414829154447396,5.575839996337891,NVIDIA A100 80GB PCIe,cuda:1,cuda,Mapped requested physical cuda:1 to local cuda via CUDA_VISIBLE_DEVICES=1.,classification_forward_no_generation,online_recall_top50_profiled; prompts_from_saved_test_dataset_manual_history_cutoff_20,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/steam/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/steam/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,dataset,./checkpoints,42,42,3228,2026-05-24T22:16:49,uvavast,1.6829432518228202,1.646165968850255,1.9931253045797346,1.7274430486177417,1.7241749446839094,1.761455787345767,1.6181938182201787,1.6165799461305141,1.6482222825288773
Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,Food,500,1,500000,20,27.056,27.5,46.0,46,15.644,20.0,20.0,20,3794.804,0.0,830.9038567454554,994.4050494814292,1052.5164855760522,1.1921717060632693,True,455,50,itemknn lightgcn pop,39.092845372487226,38.84854493662715,40.78798443078995,25.554645020624292,869.9967021179427,1033.4978948539165,1091.6093309485395,1.1436213301173104,12.213482856750488,NVIDIA A100 80GB PCIe,cuda:1,cuda,Mapped requested physical cuda:1 to local cuda via CUDA_VISIBLE_DEVICES=1.,classification_forward_no_generation,online_recall_top50_profiled; prompts_from_saved_test_dataset_manual_history_cutoff_20,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/Food/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/Food/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,dataset,./checkpoints,42,42,9137,2026-05-24T22:25:27,uvavast,8.297492091922642,8.001266978681087,9.960786881856617,17.713331859456478,17.690328881144524,17.958876956254244,13.082021421108108,13.065334875136614,13.24152098968625
