dataset,routepo_variant,baseline,n_users,metric,oracle_entropy,oracle_entropy_norm,routepo_weight_entropy_mean,routepo_weight_entropy_norm_mean,routepo_weight_variance_mean,routepo_metric,baseline_metric,routepo_gain,oracle_tie_users,routepo_method,baseline_method,oracle_pop_pct,routepo_pop_weight_mean,routepo_pop_weight_var,oracle_itemknn_pct,routepo_itemknn_weight_mean,routepo_itemknn_weight_var,oracle_lightgcn_pct,routepo_lightgcn_weight_mean,routepo_lightgcn_weight_var,model_name,prediction_cache,checkpoint_path,test_dataset_path,best_single_channel,baseline_selector_metric,single_channel_metrics,max_length
ml-1m,Llama-3.2-1B-Instruct,best_single:lightgcn,1004,ndcg@50,1.051056404342811,0.9567127686301847,0.9797526746227432,0.8918093168341812,0.02483590674732314,0.3003512915035373,0.27925049713165667,0.021100794371880616,19,top_k,single:lightgcn,19.621513944223107,0.30993451397347793,0.02774293291946791,37.99800796812749,0.2895312645046676,0.027897434887223342,42.3804780876494,0.40053422152185447,0.011885267080845724,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_ml-1m_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/ml-1m/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/ml-1m/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,lightgcn,ndcg@50,"{""itemknn"": 0.265518231526047, ""lightgcn"": 0.27925049713165667, ""pop"": 0.15723462087432052}",2777
steam,Llama-3.2-1B-Instruct,best_single:lightgcn,2398,ndcg@50,0.6969716582623664,0.6344109431975608,0.682822365744818,0.6215317021190706,0.09346787146944897,0.4870609825045607,0.4842434847377418,0.0028174977668188883,95,top_k,single:lightgcn,10.328051153739228,0.17696308345337577,0.002599036845065131,12.642479844314705,0.11749661149485632,0.038221370099162995,77.02946900194605,0.7055403050517678,0.030008032126810778,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_steam_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/steam/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/steam/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,lightgcn,ndcg@50,"{""itemknn"": 0.2311501255727679, ""lightgcn"": 0.4842434847377419, ""pop"": 0.2741354095054739}",3228
Food,Llama-3.2-1B-Instruct,best_single:itemknn,1922,ndcg@50,0.7149654933452626,0.650789637727467,0.4172511503423941,0.379798364396819,0.14692391329670346,0.4590248364448901,0.4114954553329953,0.04752938111189481,71,top_k,single:itemknn,6.174124176205341,0.023578608069291324,0.0009112196347651655,74.04613250086715,0.7294453675600291,0.09323214497740619,19.779743322927505,0.2469760243706796,0.0863180569840547,meta-llama/Llama-3.2-1B-Instruct,/data/sjc4fq/ColdRec/AmazonReviews2023/emnlp_recycle_outputs/predictions/manual_predictions_Food_Llama-3.2-1B-Instruct_itemknn_lightgcn_pop_pc500000_ptk3_k50_all.json,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/Food/Llama-3.2-1B-Instruct_pure_sft_ItemKNN_LightGCN_Pop_pc500000,/data/sjc4fq/ColdRec/AmazonReviews2023/GRPO/data/pure_models/Food/Llama-3.2-1B-Instruct_pure_sft_data_ItemKNN_LightGCN_Pop_500000/test,itemknn,ndcg@50,"{""itemknn"": 0.41149545533299536, ""lightgcn"": 0.16338981573732525, ""pop"": 0.07828934695842943}",9137
